"prs_id","prs_originelenaam","prs_achternaam","prs_tussenvoegsels","prs_initialen","prs_voornamen","rol_functie","prs_UUID","vwz_archivelink"
"1","Aalbach, J.W. van","Aalbach","van","J.W.","J.W.","officier","f7613a18-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/157//2///"
"2","Aamacher, J.W.","Aamacher","","J.W.","J.W.","soldaat","f76566c4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//69///"
"3","Aan, Peter","Aan","","","Peter","onderofficier","f7656eee-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"4","Aar, Jozef van","Aar","van","","Jozef","soldaat","f7657344-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//33///|NL-HaNA/2.01.15/169//250///|NL-HaNA/2.01.15/166//1///"
"5","Aardenburg, P.","Aardenburg","","P.","P.","officier","f765786c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//17///"
"6","Aardpot, Johannes","Aardpot","","","Johannes","onderofficier","f7657ef2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//6///|NL-HaNA/2.01.15/183//14///"
"7","Aards, Jan","Aards","","","Jan","soldaat","f7658492-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/163//1///"
"8","Aardsen, Henri","Aardsen","","","Henri","soldaat","f7658afa-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//78///"
"9","Aarth, Jan van","Aarth","van","","Jan","soldaat","f76591d0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//2///"
"10","Aarts, Jan","Aarts","","","Jan","soldaat","f76596ee-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/171//1///|NL-HaNA/2.01.15/169//56///|NL-HaNA/2.01.15/160//1///"
"11","Aarts, Mathes","Aarts","","","Mathes","soldaat","f7659d06-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//244///|NL-HaNA/2.01.15/160//2///"
"12","Aath, J. van","Aath","van","J.","J.","soldaat","f765a22e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//179///"
"13","Abekkers, Anthoon","Abekkers","","","Anthoon","soldaat","f765a81e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//88///|NL-HaNA/2.01.15/160//1///"
"14","Abel, Jan","Abel","","","Jan","soldaat","f765acc4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//48///|NL-HaNA/2.01.15/168//3///|NL-HaNA/2.01.15/160//1///"
"15","Aberson, James Colson","Aberson","","","James Colson","officier","f765b3c2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/157//33///"
"16","Aberson, James John Colson","Aberson","","","James John Colson","officier","f765b8d6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/172//59///|NL-HaNA/2.01.15/170//20///"
"17","Abeskamp, G.","Abeskamp","","G.","G.","soldaat","f765c1be-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176// 83///|NL-HaNA/2.01.15/176//74///|NL-HaNA/2.01.15/185//18///"
"18","Abraas, Cornelis","Abraas","","","Cornelis","soldaat","f765c7cc-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"19","Abt, Jacob","Abt","","","Jacob","soldaat","f765cd3a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//34///|NL-HaNA/2.01.15/174//9///|NL-HaNA/2.01.15/169//129///"
"20","Achard, Johan Frans d'","Achard","d'","","Johan Frans","soldaat","f765d348-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/172// 50///|NL-HaNA/2.01.15/172//44///|NL-HaNA/2.01.15/170// 78///|NL-HaNA/2.01.15/170//21///|NL-HaNA/2.01.15/159// 2///|NL-HaNA/2.01.15/159//1///|NL-HaNA/2.01.15/177//10///|NL-HaNA/2.01.15/175//2///|NL-HaNA/2.01.15/173//1///|NL-HaNA/2.01.15/157//23///"
"21","Achenbach","Achenbach","","","","officier","f765d8ca-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//189///|NL-HaNA/2.01.15/173//2///"
"22","Achenbach, B.P.","Achenbach","","B.P.","B.P.","officier","f765df00-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//1///"
"23","Achenbach, J.C.","Achenbach","","J.C.","J.C.","soldaat","f765e518-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//172///|NL-HaNA/2.01.15/166//1///|NL-HaNA/2.01.15/160//1///"
"24","Achenbach, Willem Gotfried","Achenbach","","","Willem Gotfried","onderofficier","f765eb44-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//83///|NL-HaNA/2.01.15/160//2///"
"25","Achenbag, Johannes","Achenbag","","","Johannes","soldaat","f765efe0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//9///"
"26","Acken, Jan van","Acken","van","","Jan","soldaat","f765f45e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//37///"
"27","Ackerkoort, G.","Ackerkoort","","G.","G.","officier","f765f936-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/179//3///"
"28","Ackerman, Emanuel","Ackerman","","","Emanuel","soldaat","f765ff4e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//1///|NL-HaNA/2.01.15/165//1///"
"29","Ackerman, Jan","Ackerman","","","Jan","soldaat","f7671e88-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"30","Ackerman, J.H.","Ackerman","","J.H.","J.H.","officier","f7672504-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/179//4///|NL-HaNA/2.01.15/175//135///"
"31","Ackerman, M.","Ackerman","","M.","M.","soldaat","f7672a72-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//27///"
"32","Ackerman, Martin","Ackerman","","","Martin","soldaat","f7673094-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//27///|NL-HaNA/2.01.15/161//1///"
"33","Ackerman, Mathijs","Ackerman","","","Mathijs","soldaat","f7673760-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"34","Ackerman, Matthias","Ackerman","","","Matthias","soldaat","f7673e18-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//2///"
"35","Ackersloot, G.","Ackersloot","","G.","G.","officier","f76743b8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//135///"
"36","Ackkermans, Johan","Ackkermans","","","Johan","soldaat","f7674a98-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//196///|NL-HaNA/2.01.15/160//1///"
"37","Acquet, C.A.J. d'","Acquet","d'","C.A.J.","C.A.J.","officier","f7674ea8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/173//36///"
"38","Acquet, Charles Auguste d'","Acquet","d'","","Charles Auguste","officier","f7675466-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//24///|NL-HaNA/2.01.15/175//4///|NL-HaNA/2.01.15/170//63///"
"39","Acquit, Charles Auguste d'","Acquit","d'","","Charles Auguste","officier","f76759a2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/172//131///"
"40","Adam, Christiaan","Adam","","","Christiaan","soldaat","f7675f56-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"41","Adam, J.","Adam","","J.","J.","onderofficier","f7676596-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/158//3///"
"42","Adam, Martin","Adam","","","Martin","soldaat","f7676b68-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//1///|NL-HaNA/2.01.15/162//1///"
"43","Adam, P.","Adam","","P.","P.","onderofficier","f7677054-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//62///"
"44","Adam, Pieter","Adam","","","Pieter","soldaat","f7677766-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//3///|NL-HaNA/2.01.15/161//1///"
"45","Adammer, Hendrik","Adammer","","","Hendrik","soldaat","f7677d42-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//2///"
"46","Adams, Jacob","Adams","","","Jacob","soldaat","f76782c4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//88///|NL-HaNA/2.01.15/160//2///|NL-HaNA/2.01.15/158//4///"
"47","Adams, Wilhelm","Adams","","","Wilhelm","soldaat","f7678828-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//221///|NL-HaNA/2.01.15/168//4///|NL-HaNA/2.01.15/160//2a///"
"48","Adamtz, Coenraad","Adamtz","","","Coenraad","onderofficier","f7678e18-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"49","Adanck, Coenraad","Adanck","","","Coenraad","onderofficier","f76793f4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//2///"
"50","Adank, Ch.","Adank","","Ch.","Ch.","soldaat","f7679944-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//2///"
"51","Adelaar, Antonie","Adelaar","","","Antonie","soldaat","f7679e4e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//31///|NL-HaNA/2.01.15/169//47///|NL-HaNA/2.01.15/168//4///"
"52","Adelgeest, Jan","Adelgeest","","","Jan","soldaat","f767a358-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//22///|NL-HaNA/2.01.15/169//1///|NL-HaNA/2.01.15/168//4///"
"53","Adelman, Coenraad","Adelman","","","Coenraad","soldaat","f767a8c6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//196///|NL-HaNA/2.01.15/160//1///"
"54","Adler, Justus","Adler","","","Justus","onderofficier","f767adda-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"55","Adriaans, A.","Adriaans","","A.","A.","soldaat","f767b794-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//19///|NL-HaNA/2.01.15/176//76///"
"56","Adriaanse, Jan","Adriaanse","","","Jan","soldaat","f767bd48-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//2///"
"57","Adrien, Jean Franciscus","Adrien","","","Jean Franciscus","officier","f7694988-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//21///|NL-HaNA/2.01.15/173//72///"
"58","Adrien, Jean Francois","Adrien","","","Jean Francois","officier","f7695144-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//4///|NL-HaNA/2.01.15/170//64///|NL-HaNA/2.01.15/159//2///|NL-HaNA/2.01.15/157//22///"
"59","A(e)fferden, Ernestina van, wed.v.Alexander SCOTT","A(e)fferden","","","Ernestina van  wed.v.Alexander SCOTT","soldaat","f7695720-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//2///|NL-HaNA/2.01.15/172//75///|NL-HaNA/2.01.15/159//8///"
"60","Aefferden, G. van","Aefferden","van","G.","G.","officier","f7695b80-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//16///"
"61","Aelmans, Hermanus","Aelmans","","","Hermanus","soldaat","f76961d4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//19///|NL-HaNA/2.01.15/169//221///"
"62","Aepli, Caspar","Aepli","","","Caspar","soldaat","f7696666-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"63","Aepli, Jacob","Aepli","","","Jacob","onderofficier","f7696c10-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//27///|NL-HaNA/2.01.15/168//3///|NL-HaNA/2.01.15/165//1///"
"64","Aerssen, --- van","Aerssen","van","","---","officier","f7697142-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//167///"
"65","Aerssen Bajeren, --- van","Aerssen Bajeren","van","","---","officier","f769778c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/173//1///"
"66","Agterbos, Willem","Agterbos","","","Willem","onderofficier","f7697d22-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//2///|NL-HaNA/2.01.15/176//51///"
"67","Agter den Bosch, Hendrik","Agter den Bosch","","","Hendrik","soldaat","f7698344-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//1///"
"68","Agter den Bosch, Joseph","Agter den Bosch","","","Joseph","soldaat","f7698a4c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//1///"
"69","Agterenbosch, J.","Agterenbosch","","J.","J.","soldaat","f769901e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//10///|NL-HaNA/2.01.15/176//61///"
"70","Ahlbach, J.","Ahlbach","","J.","J.","officier","f7699604-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//14///"
"71","Aken, Jan van","Aken","van","","Jan","soldaat","f7699b2c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//103///"
"72","Aker, Andries","Aker","","","Andries","onderofficier","f769a0c2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"73","Akker, Huybert op den","Akker","op den","","Huybert","soldaat","f769a770-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//21///|NL-HaNA/2.01.15/169//146///"
"74","Akkeren, P.A.","Akkeren","","P.A.","P.A.","soldaat","f769ac48-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//20///"
"75","Akkeren, Pierre van","Akkeren","van","","Pierre","soldaat","f769b1f2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/183//30///"
"76","Akkerkoord, G.","Akkerkoord","","G.","G.","officier","f769b698-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//9///|NL-HaNA/2.01.15/175//199///"
"77","Akkerman, Emanuel","Akkerman","","","Emanuel","soldaat","f769bbde-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//27///|NL-HaNA/2.01.15/168//4///"
"78","Akkerman, J.","Akkerman","","J.","J.","soldaat","f769c1c4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//119///|NL-HaNA/2.01.15/158//4///"
"79","Akkerman, J.H.","Akkerman","","J.H.","J.H.","officier","f769c6ec-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/173//1///"
"80","Akkerman, Martin","Akkerman","","","Martin","soldaat","f769cbd8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//2///"
"81","Akkerman, Reijnier","Akkerman","","","Reijnier","soldaat","f769d1aa-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//1///"
"82","Akkermannin, C.M.","Akkermannin","","C.M.","C.M.","soldaat","f769d88a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/182//11///"
"83","Albach, J.P. van","Albach","van","J.P.","J.P.","officier","f769dda8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184// 12///|NL-HaNA/2.01.15/184//5///"
"84","Albers, Bartholomeus","Albers","","","Bartholomeus","soldaat","f769e460-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//2///"
"85","Albers, Jan","Albers","","","Jan","soldaat","f769eb40-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//2///"
"86","Albers, J.Z.","Albers","","J.Z.","J.Z.","onderofficier","f769f194-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//146///"
"87","Albert, Caspar","Albert","","","Caspar","onderofficier","f769f608-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"88","Albert, Jan","Albert","","","Jan","soldaat","f769fafe-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/167//2///"
"89","Alberti, Christ","Alberti","","","Christ","soldaat","f769ff2c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//39///"
"90","Alberti, Cornelis","Alberti","","","Cornelis","soldaat","f76a0436-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//21///|NL-HaNA/2.01.15/169//196///"
"91","Alberti, Lourens","Alberti","","","Lourens","soldaat","f76a08fa-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//21///"
"92","Alberti, P.","Alberti","","P.","P.","soldaat","f76a0e68-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//118///"
"93","Alberti, W.","Alberti","","W.","W.","soldaat","f76a13fe-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//12///|NL-HaNA/2.01.15/175//207///"
"94","Albertie, P.","Albertie","","P.","P.","soldaat","f76a1a16-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/183//3///"
"95","Alberts, Hendrik","Alberts","","","Hendrik","soldaat","f76a1fd4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//2///"
"96","Alberts, J.","Alberts","","J.","J.","soldaat","f76a26a0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//88///"
"97","Alberts, Jan Hendrik","Alberts","","","Jan Hendrik","onderofficier","f76a2c2c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//183///"
"98","Alberts, Jan Zweerts","Alberts","","","Jan Zweerts","soldaat","f76a31d6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//14///"
"99","Alberts, L.","Alberts","","L.","L.","soldaat","f76a3726-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//1///|NL-HaNA/2.01.15/176//50///|NL-HaNA/2.01.15/169//103///"
"100","Alberts, Willem","Alberts","","","Willem","soldaat","f76a3c12-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//1///|NL-HaNA/2.01.15/161//2///"
"101","Albrecht, Andreas","Albrecht","","","Andreas","soldaat","f76a409a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//40///|NL-HaNA/2.01.15/169//1///|NL-HaNA/2.01.15/168//4///"
"102","Albrecht, Casper","Albrecht","","","Casper","onderofficier","f76a4608-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//62///|NL-HaNA/2.01.15/168//1///"
"103","Albrecht, Fridrich","Albrecht","","","Fridrich","soldaat","f76a4bf8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"104","Albrecht, Jean","Albrecht","","","Jean","officier","f76a518e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//78///"
"105","Albrecht, T.","Albrecht","","T.","T.","soldaat","f76a5d3c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//196///"
"106","Albrechts, Johan Melchior","Albrechts","","","Johan Melchior","soldaat","f76a6304-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//2///"
"107","Albregt, Leopold","Albregt","","","Leopold","soldaat","f76a68fe-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//1///"
"108","Albrigt, Leopold","Albrigt","","","Leopold","soldaat","f76a6e30-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//9///"
"109","Aldenberg, Pieter","Aldenberg","","","Pieter","soldaat","f76a7452-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//172///|NL-HaNA/2.01.15/166//1///|NL-HaNA/2.01.15/160//2a///"
"110","Aldenburg, Roedolf","Aldenburg","","","Roedolf","officier","f76a79a2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//62///|NL-HaNA/2.01.15/168//2///|NL-HaNA/2.01.15/160//1///"
"111","Aldenhooft, Johan","Aldenhooft","","","Johan","soldaat","f76a7f06-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/162//1///"
"112","Aldrich, Andries","Aldrich","","","Andries","soldaat","f76a8654-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//1///"
"113","Aldus, Dirk","Aldus","","","Dirk","soldaat","f76a8c26-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/162//1///"
"114","Aleg, J.J.","Aleg","","J.J.","J.J.","soldaat","f76a9144-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//196///"
"115","Aleg, Peter","Aleg","","","Peter","onderofficier","f76a9748-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//196///|NL-HaNA/2.01.15/165//1///"
"116","Alenck, Hendrik","Alenck","","","Hendrik","soldaat","f76a9d10-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//1///|NL-HaNA/2.01.15/160//1///"
"117","Alexander, Johannes","Alexander","","","Johannes","soldaat","f76aa148-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"118","Alexander, Johannes Jurgen","Alexander","","","Johannes Jurgen","soldaat","f76aa76a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"119","Alexander, Machijs","Alexander","","","Machijs","soldaat","f76aac42-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"120","Alexander, Matthijs","Alexander","","","Matthijs","soldaat","f76ab0c0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//47///|NL-HaNA/2.01.15/168//2///"
"121","Alexander, Sigismund","Alexander","","","Sigismund","officier","f76ab6e2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//18///|NL-HaNA/2.01.15/177//10///|NL-HaNA/2.01.15/175//2///|NL-HaNA/2.01.15/173//1///|NL-HaNA/2.01.15/172//65///|NL-HaNA/2.01.15/170//95///|NL-HaNA/2.01.15/159//6///"
"122","Alexint, Tierri","Alexint","","","Tierri","soldaat","f76abbd8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//79///"
"123","Alexius, D.","Alexius","","D.","D.","soldaat","f76ac16e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//22///|NL-HaNA/2.01.15/183//33///"
"124","Alig, J.J.","Alig","","J.J.","J.J.","soldaat","f76ac61e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//1///"
"125","Aling, Evert","Aling","","","Evert","soldaat","f76acb32-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//119///|NL-HaNA/2.01.15/160//2a///"
"126","Alinks","Alinks","","","","officier","f76ad136-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/182//5///|NL-HaNA/2.01.15/180//1///"
"127","Alinks, ---, weduwe","Alinks","","","---  weduwe","soldaat","f76ad6fe-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/178//5///"
"128","Alleé, Etienne d'","Alleé","d'","","Etienne","officier","f76adc94-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//91///|NL-HaNA/2.01.15/159//3///"
"129","Allen, Hendrik","Allen","","","Hendrik","soldaat","f76ae3a6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//1///"
"130","Allen, Jacob(us)","Allen","","","Jacob(us)","onderofficier","f76ae8ce-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//196///|NL-HaNA/2.01.15/160//1///"
"131","Allen, Jan Hendrik","Allen","","","Jan Hendrik","onderofficier","f76aed92-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//27///|NL-HaNA/2.01.15/168//4///|NL-HaNA/2.01.15/160//1///"
"132","Allen, Jeremias","Allen","","","Jeremias","soldaat","f76af224-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//1///"
"133","Allen, Thomas","Allen","","","Thomas","soldaat","f76af706-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//2///"
"134","Alles, Johan Georg","Alles","","","Johan Georg","soldaat","f76afc92-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/162//1///"
"135","Allewaart, J.H.","Allewaart","","J.H.","J.H.","officier","f76b02b4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//10///|NL-HaNA/2.01.15/175//4///|NL-HaNA/2.01.15/173//1///|NL-HaNA/2.01.15/172//118///"
"136","Allewaert, Johan Hendrik","Allewaert","","","Johan Hendrik","officier","f76b08cc-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/159//2///"
"137","Alimendinger, Johan George","Alimendinger","","","Johan George","officier","f76b12fe-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//2///|NL-HaNA/2.01.15/172//58///|NL-HaNA/2.01.15/159//3///"
"138","Ally, G.","Ally","","G.","G.","soldaat","f76b18bc-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//159///"
"139","Almadruz, S.","Almadruz","","S.","S.","officier","f76b1e8e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//10///"
"140","Almendinger, G.J.","Almendinger","","G.J.","G.J.","officier","f76b2636-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//10///"
"141","Almendinger, J.G.","Almendinger","","J.G.","J.G.","officier","f76b2cee-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//2///|NL-HaNA/2.01.15/173//1///"
"142","Alp, J.G.A. d'","Alp","d'","J.G.A.","J.G.A.","officier","f76b3252-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/173//36///"
"143","Alp, Johan George d'","Alp","d'","","Johan George","officier","f76b386a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//24///|NL-HaNA/2.01.15/175//4///|NL-HaNA/2.01.15/172//130///"
"144","Alpen, Johannes van","Alpen","van","","Johannes","officier","f76b3da6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//3///"
"145","Alphen, Carel van","Alphen","van","","Carel","officier","f76b43be-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//10///|NL-HaNA/2.01.15/175//2///|NL-HaNA/2.01.15/173//1///|NL-HaNA/2.01.15/172//40///|NL-HaNA/2.01.15/170//83///|NL-HaNA/2.01.15/159//3///|NL-HaNA/2.01.15/157//33///"
"146","Alphen, Gerrit van","Alphen","van","","Gerrit","soldaat","f76b48e6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//1///"
"147","Alphen, J. van","Alphen","van","J.","J.","officier","f76b4ef4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/179//2///|NL-HaNA/2.01.15/177//21///|NL-HaNA/2.01.15/175//135///|NL-HaNA/2.01.15/173//75///"
"148","Alphen, Jacobus François van","Alphen","van","","Jacobus François","officier","f76b544e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/172//76///|NL-HaNA/2.01.15/170//59///|NL-HaNA/2.01.15/159//2///"
"149","Alphen, Johannes van","Alphen","van","","Johannes","officier","f76b5886-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/172//91///|NL-HaNA/2.01.15/170//76///|NL-HaNA/2.01.15/159//2///|NL-HaNA/2.01.15/157//31///"
"150","Alphen, J.J. van","Alphen","van","J.J.","J.J.","officier","f76b5f16-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//3///"
"151","Alrust, Hendrik","Alrust","","","Hendrik","onderofficier","f76b648e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/167//2///|NL-HaNA/2.01.15/160//1///"
"152","Alrutz, H.","Alrutz","","H.","H.","onderofficier","f76b6948-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//159///"
