"prs_id","prs_originelenaam","prs_achternaam","prs_tussenvoegsels","prs_initialen","prs_voornamen","rol_functie","prs_UUID","vwz_archivelink"
"432","Bakker, Berend","Bakker","","","Berend","soldaat","f771d60c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//9///|NL-HaNA/2.01.15/168//31///"
"433","Bakker, Chr.","Bakker","","Chr.","Chr.","onderofficier","f771db0c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/171//3///"
"434","Bakker, Christiaan","Bakker","","","Christiaan","soldaat","f771dff8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//3///"
"435","Bakker, Frans","Bakker","","","Frans","soldaat","f771e502-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//18///|NL-HaNA/2.01.15/162//3///"
"436","Bakker, G.","Bakker","","G.","G.","soldaat","f771eb1a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//80///"
"437","Bakker, Hendrik","Bakker","","","Hendrik","onderofficier","f771f146-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//4///"
"438","Bakker, Johan","Bakker","","","Johan","onderofficier","f771f7d6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//79///|NL-HaNA/2.01.15/168//27///|NL-HaNA/2.01.15/160//9a///"
"439","Bakker, Johan","Bakker","","","Johan","soldaat","f771fea2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//15///"
"440","Bakker, Johannes Pieter","Bakker","","","Johannes Pieter","soldaat","f7720366-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//1///|NL-HaNA/2.01.15/169//222///"
"441","Bakker, Mattheis","Bakker","","","Mattheis","soldaat","f7720852-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//41///|NL-HaNA/2.01.15/169//160///|NL-HaNA/2.01.15/167//8///"
"442","Bakker, Philip","Bakker","","","Philip","soldaat","f7720e38-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//6///"
"443","Bakker, Pieter","Bakker","","","Pieter","soldaat","f7721766-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/167//7///|NL-HaNA/2.01.15/160//7a///"
"444","Bakker, Willem","Bakker","","","Willem","onderofficier","f7721d4c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/167//6///|NL-HaNA/2.01.15/161//6///|NL-HaNA/2.01.15/160//5///"
"445","Bakker, --- de","Bakker","de","","---","officier","f77223fa-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/173//4///"
"446","Balderen, M. van","Balderen","van","M.","M.","officier","f7722cba-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//183///|NL-HaNA/2.01.15/173//4///"
"447","Baldewijn, Hendrik","Baldewijn","","","Hendrik","soldaat","f7723322-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//3///|NL-HaNA/2.01.15/168//19///|NL-HaNA/2.01.15/162//3///"
"448","Baldus, J.","Baldus","","J.","J.","soldaat","f77239bc-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//89///"
"449","Balen, M. van","Balen","van","M.","M.","officier","f7724006-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//10///|NL-HaNA/2.01.15/175//195///"
"450","Balfort, Arend","Balfort","","","Arend","soldaat","f7724484-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//9///"
"451","Balfort, Willem Hendrik","Balfort","","","Willem Hendrik","soldaat","f7724a38-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//21///"
"452","Balk, Johannes","Balk","","","Johannes","soldaat","f772503c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//17///|NL-HaNA/2.01.15/176//73///"
"453","Balkum, Jan van","Balkum","van","","Jan","soldaat","f77255a0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//184///|NL-HaNA/2.01.15/166//5///|NL-HaNA/2.01.15/160//5///"
"454","Balkum, Pieter van","Balkum","van","","Pieter","soldaat","f7725bb8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//184///|NL-HaNA/2.01.15/166//5///|NL-HaNA/2.01.15/160//5///"
"455","Balliver, Pieter","Balliver","","","Pieter","onderofficier","f7726266-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//2///|NL-HaNA/2.01.15/168//22///|NL-HaNA/2.01.15/163//3///"
"456","Baltus, Hermanus","Baltus","","","Hermanus","onderofficier","f772677a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//9///|NL-HaNA/2.01.15/169//183///|NL-HaNA/2.01.15/166//9///"
"457","Baltus, Johannes","Baltus","","","Johannes","soldaat","f7726e28-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//30///|NL-HaNA/2.01.15/169//146///"
"458","Baltus, M.","Baltus","","M.","M.","soldaat","f7727404-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//3///"
"459","Balwa, Frans","Balwa","","","Frans","onderofficier","f77279fe-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//14///|NL-HaNA/2.01.15/176//66///"
"460","Bambergen, Mauritz","Bambergen","","","Mauritz","soldaat","f7727f9e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//6///|NL-HaNA/2.01.15/161//6///"
"461","Bamens, Johannes","Bamens","","","Johannes","soldaat","f77285d4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//5///"
"462","Bames, J.","Bames","","J.","J.","soldaat","f7728aca-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//63///"
"463","Bamo, Jan","Bamo","","","Jan","soldaat","f7729006-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//7///"
"464","Bams, Leonardus","Bams","","","Leonardus","soldaat","f77295d8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//5///"
"465","Banens, Nocal.","Banens","","cal.","Nocal.","soldaat","f7729b64-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//17///"
"466","Banga, Euylke Benedictus","Banga","","","Euylke Benedictus","officier","f772a0be-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//83///"
"467","Bangart, Christiaan","Bangart","","","Christiaan","soldaat","f772a550-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//30///|NL-HaNA/2.01.15/169//159///|NL-HaNA/2.01.15/167//7///"
"468","Bangert, Ernst","Bangert","","","Ernst","onderofficier","f772ab0e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//28///|NL-HaNA/2.01.15/168//27///|NL-HaNA/2.01.15/160//9a///"
"469","Bangert, Hendrik","Bangert","","","Hendrik","soldaat","f772b0e0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/162//3///"
"470","Bangert, Johan Jacob","Bangert","","","Johan Jacob","onderofficier","f772b608-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//8///"
"471","Bannier, W.","Bannier","","W.","W.","officier","f772bc34-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//5///"
"472","Bantzinger, Johan Jacob","Bantzinger","","","Johan Jacob","officier","f772c184-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//21///|NL-HaNA/2.01.15/175//10///|NL-HaNA/2.01.15/173//75///|NL-HaNA/2.01.15/172//83///|NL-HaNA/2.01.15/159//17///"
"473","Baraud, Etienne","Baraud","","","Etienne","onderofficier","f772c634-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//3///"
"474","Barbers, P. le","Barbers","le","P.","P.","soldaat","f772cb16-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//15///"
"475","Barbeij, Francois","Barbeij","","","Francois","onderofficier","f772d0fc-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//221///|NL-HaNA/2.01.15/165//3///"
"476","Barbier, Joseph","Barbier","","","Joseph","soldaat","f772d7f0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//46///|NL-HaNA/2.01.15/169//179///|NL-HaNA/2.01.15/166//10///"
"477","Barbin, Pieter","Barbin","","","Pieter","soldaat","f772de12-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//6///"
"478","Barby, Francois","Barby","","","Francois","onderofficier","f772e2ea-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//221///|NL-HaNA/2.01.15/165//3///"
"479","Barbijn, Cornelis Francois","Barbijn","","","Cornelis Francois","officier","f772e92a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//75///"
"480","Bardijn, Cornelis Francois","Bardijn","","","Cornelis Francois","officier","f772ee66-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//10///|NL-HaNA/2.01.15/175//6///|NL-HaNA/2.01.15/173//4///|NL-HaNA/2.01.15/172//22///|NL-HaNA/2.01.15/159//14///"
"481","Barel, Henry","Barel","","","Henry","soldaat","f772f406-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//4///"
"482","Barenburg, Johannes","Barenburg","","","Johannes","soldaat","f772f8ca-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//184///|NL-HaNA/2.01.15/166//10///|NL-HaNA/2.01.15/160//9b///"
"483","Barend, Abraham","Barend","","","Abraham","soldaat","f772ff00-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//30///"
"484","Barends, Fredrik","Barends","","","Fredrik","soldaat","f773045a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//197///|NL-HaNA/2.01.15/162//3///"
"485","Barends, Joost","Barends","","","Joost","soldaat","f7730a7c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//10///|NL-HaNA/2.01.15/183//13///"
"486","Barenne, Pierre Dussard de","Barenne","de","","Pierre Dussard","officier","f7730f86-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//5///|NL-HaNA/2.01.15/173//3///|NL-HaNA/2.01.15/170//94///|NL-HaNA/2.01.15/159//15///"
"487","Barke, Bastiaan","Barke","","","Bastiaan","soldaat","f77315b2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//9///"
"488","Barnabé de Guernon, Francois Rogier","Barnabé de Guernon","","","Francois Rogier","officier","f7731ac6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/159//11///"
"489","Barnabé de Guernon, R.F.","Barnabé de Guernon","","R.F.","R.F.","officier","f7731f80-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/172//124///"
"490","Barner, Johan Christoffel van","Barner","van","","Johan Christoffel","officier","f7732606-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//57///"
"491","Barneveld, Henricus","Barneveld","","","Henricus","officier","f7732b9c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//3///|NL-HaNA/2.01.15/175//6///|NL-HaNA/2.01.15/173//65///|NL-HaNA/2.01.15/172//22///|NL-HaNA/2.01.15/170//77///"
"492","Barneveld, Jacobus","Barneveld","","","Jacobus","officier","f77331a0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//77///"
"493","Barneveld, Johan(nes)","Barneveld","","","Johan(nes)","officier","f7733952-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175// 7///|NL-HaNA/2.01.15/175//6///|NL-HaNA/2.01.15/172// 30///|NL-HaNA/2.01.15/172//13///|NL-HaNA/2.01.15/177//3///|NL-HaNA/2.01.15/173//65///"
"494","Barneveld, Leendert","Barneveld","","","Leendert","soldaat","f7733f38-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/16// 9b///|NL-HaNA/2.01.15/16//4///|NL-HaNA/2.01.15/169//179///|NL-HaNA/2.01.15/166//8///"
"495","Barneveld, Johannis van","Barneveld","van","","Johannis","officier","f77343ac-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//49///|NL-HaNA/2.01.15/159//12///"
"496","Barnevelt, Hendricus","Barnevelt","","","Hendricus","officier","f77348ca-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/159//14///"
"497","Barnouw, Jacob","Barnouw","","","Jacob","onderofficier","f7734e10-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//8///|NL-HaNA/2.01.15/183//10///"
"498","Barosch, Antoon Dijn","Barosch","","","Antoon Dijn","soldaat","f7735356-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//37///|NL-HaNA/2.01.15/169//159///|NL-HaNA/2.01.15/167//6///"
"499","Barquin, Antoine Joseph","Barquin","","","Antoine Joseph","officier","f7735810-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//24///|NL-HaNA/2.01.15/175//13///|NL-HaNA/2.01.15/173//37///|NL-HaNA/2.01.15/172//114///|NL-HaNA/2.01.15/159//13///"
"500","Barquin, Joseph","Barquin","","","Joseph","officier","f7735eb4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/170//65///"
"501","Barry, Henrich","Barry","","","Henrich","onderofficier","f773656c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//5///"
"502","Barske, Pieter","Barske","","","Pieter","soldaat","f7736b34-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//6///"
"503","Bart, J.A. de","Bart","de","J.A.","J.A.","officier","f7736ff8-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//192///"
"504","Bartack, Johan","Bartack","","","Johan","soldaat","f773750c-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/165//4///"
"505","Barten, L.","Barten","","L.","L.","soldaat","f7737ade-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/185//9///|NL-HaNA/2.01.15/176//58///"
"506","Barthold, Christiaan","Barthold","","","Christiaan","officier","f77380e2-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//10///|NL-HaNA/2.01.15/175//12///|NL-HaNA/2.01.15/173//2///|NL-HaNA/2.01.15/172//99///|NL-HaNA/2.01.15/159//18///"
"507","Bartholomeus, Machiel","Bartholomeus","","","Machiel","onderofficier","f773870e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//197///|NL-HaNA/2.01.15/160//7///"
"508","Bartold, Ch.","Bartold","","Ch.","Ch.","officier","f7738cae-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/177//10///|NL-HaNA/2.01.15/170//17///"
"509","Basing, N.","Basing","","N.","N.","soldaat","f7739190-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/166//9///|NL-HaNA/2.01.15/160//9a///"
"510","Basler, Jacob","Basler","","","Jacob","soldaat","f7739708-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//46///"
"511","Basmans, Pieter","Basmans","","","Pieter","soldaat","f7739d7a-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/176//32///|NL-HaNA/2.01.15/169//199///"
"512","Bassaart, Rudolph","Bassaart","","","Rudolph","soldaat","f773a360-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/160//9a///"
"513","Bassel, Pierre","Bassel","","","Pierre","soldaat","f773a9aa-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/168//22///|NL-HaNA/2.01.15/160//3///"
"514","Bast, J.J.","Bast","","J.J.","J.J.","officier","f773ae82-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//7///|NL-HaNA/2.01.15/175//191///"
"515","Basten, Jan van","Basten","van","","Jan","soldaat","f773b468-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//237///|NL-HaNA/2.01.15/160//7a///"
"516","Basters, H.N.","Basters","","H.N.","H.N.","officier","f773b968-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/184//6///"
"517","Bastiaans, Hendrik","Bastiaans","","","Hendrik","soldaat","f773bf62-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//33///"
"518","Bastiaans, Pieter","Bastiaans","","","Pieter","soldaat","f773c4e4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//183///|NL-HaNA/2.01.15/166//6///|NL-HaNA/2.01.15/160//9a///"
"519","Bastian, Johan","Bastian","","","Johan","soldaat","f773ca34-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//198///|NL-HaNA/2.01.15/160//9///"
"520","Batenburg, Anthoon","Batenburg","","","Anthoon","onderofficier","f773cfb6-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/161//7///"
"521","Batenburg, Dirk","Batenburg","","","Dirk","soldaat","f773d5b0-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/174//22///"
"522","Batenburg, N. van","Batenburg","van","N.","N.","soldaat","f773da2e-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/169//146///|NL-HaNA/2.01.15/160//9///"
"523","Batenburg, Wouter van","Batenburg","van","","Wouter","soldaat","f773dfc4-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/171//3///|NL-HaNA/2.01.15/169//146///"
"524","Bateram, J.","Bateram","","J.","J.","officier","f773e514-e2d6-102c-9a92-005056a23d00","NL-HaNA/2.01.15/175//175///|NL-HaNA/2.01.15/173//4///"
