NL-HaNA_2.01.15_91_0002.xml
NL-HaNA_2.01.15_91_0016.xml,Theodorus,Veeren,Andries,Johannes,Johan(nes),Pheiffer,Gerhard,Everhard(t),Adrianus,Groot,Frans,Christiaan,Stiffry,Grond,Johan,Hendrik,Hendrikus
NL-HaNA_2.01.15_91_0007.xml,Jacobus,Arnoldus,Johannes,Johan(nes),Groot,Gerhard,Thielen,Theodorus,Caspar(us),Hania,Grond,Beugen,Veere(n),Veeren,Anthonie,Wilhelm,Gosewijn,Louis
NL-HaNA_2.01.15_91_0013.xml,Cornelis,Trissart,Georg,George,Veldman,Muntinghe,Johan,Casper,Plappert,Conraad,Hasselt,Hendrik,Hendrikus,Groot,Wilhelm,Gerhard,Johannes,Gerrit,Alexander,Otto
NL-HaNA_2.01.15_91_0012.xml,Jacob(us),Jacobus,Balthazar,Knoll,Hendrikus,Driessen,Johannes,Johan(nes),Wijnandus,Janssen,Philip,Groot,Nicolaas,Cornelis,Bloemen,Roll
NL-HaNA_2.01.15_91_0011.xml,Johan,Anthony,Anthon,Muller,Groot,Adriaan,Adrian,Adrianus,Roesgen,Gerhard,Arnoldus,Hendrik,Hendrikus,Bloemen,Steevens,Adolph,Ludolph,Ferdinandus,Frans
NL-HaNA_2.01.15_91_0017.xml,Frans,Grevenstuk,Groot,Bloemen,Dirk,Christiaan,Oltmans,Theodorus,Langle,Magne,Charles,Steevens
NL-HaNA_2.01.15_91_0022.xml
NL-HaNA_2.01.15_91_0015.xml,Carel,Philip,Groot,Johan,Wilhelm,Achenbach,Johannes,Johan(nes),Krafft,Caspar(us),Josephus,Joseph(us),Frans,Roesgen,Christoph,Anthonie,Anthon,(Anthon),Anthony,Christiaan
NL-HaNA_2.01.15_91_0001.xml
NL-HaNA_2.01.15_91_0019.xml,Ludolph,Paulus,Cornelis,Bosson,Groot,Beugen,Schinne,Pieter,Haakmeester,Martienus,Isaac,Bloemen,Steevens,Janssen
NL-HaNA_2.01.15_91_0021.xml
NL-HaNA_2.01.15_91_0006.xml,Hendrik,Grond,Adriaan,Adrian,Adrianus,Groot,Johan,Pieter,Knoll,Schuman,Wilhelm,Friedrich,Cornelis,Steevens,Andries
NL-HaNA_2.01.15_91_0009.xml,Hendrik,Hendrikus,Sinninghe,Groot,Jacobus,Hasselt,Gerhard,Gosewijn,Colson,Aberson,Adriaan,Adrian,Speelman,Johan,Wilhelm,Johannes,Frans
NL-HaNA_2.01.15_91_0020.xml
NL-HaNA_2.01.15_91_0010.xml,Josephus,Joseph(us),Groot,Hendrik,Valentyn,Kerst,Carl,Carel,Fredrik,Grond,Paulus,Frans,Beugen,Hubertus,Johan,Johannes,Janssen
NL-HaNA_2.01.15_91_0005.xml,Dirk,Schafer,Johan,Hendrik,Hendrikus,Groot,Bloemen,Johannes,Johan(nes),Wilhelm,Frans,Adriaan,Adrian,Adrianus,Grond,Rookmaker,Alexander,Thielen,Steevens
NL-HaNA_2.01.15_91_0014.xml,Samuel,Louis,Martijn,Georg,George,Alexander,Ernestinus,Beek,Johan,Hendrik,Hendrikus,Leicher,Groot,Nicolaas,Schaardenburg,Gerrit,Bloemen
NL-HaNA_2.01.15_91_0004.xml,Johan,Lambertus,Hania,Groot,Vermees,Frans,Fredrik,Josephus,Kerst,Jacobus,Dirk,Janssen,Cornelis,Oosterkamp,Hubertus
NL-HaNA_2.01.15_91_0008.xml,Adriaan,Adrian,Johan,Fruitier,Fredrik,Schlosser,Langle,Groot,Cornelis,Gallois,Carl,Carel,Wilhelm,Pieter,Steevens
NL-HaNA_2.01.15_91_0003.xml,Alexe,Louis,Groot,Adriaan,Adrian,Adrianus,Frans,Jacque
NL-HaNA_2.01.15_91_0018.xml,Jurien,Volkhemer,Adrianus,Nicolaas,Overveld,Johan,Wilhelm,François,Brouerius,Nideck,Adriaan,Adrian,Groot,Carl,Carel,Samuel,Jacobus,Dirk,Hendrik,Hendrikus
