Emanuel,Ackerman,NL-HaNA/2.01.15/169//1///|NL-HaNA/2.01.15/165//1///,f765ff4e-e2d6-102c-9a92-005056a23d00
Mathijs,Ackerman,NL-HaNA/2.01.15/165//1///,f7673760-e2d6-102c-9a92-005056a23d00
Coenraad,Adamtz,NL-HaNA/2.01.15/165//1///,f7678e18-e2d6-102c-9a92-005056a23d00
Ch.,Adank,NL-HaNA/2.01.15/165//2///,f7679944-e2d6-102c-9a92-005056a23d00
Justus,Adler,NL-HaNA/2.01.15/165//1///,f767adda-e2d6-102c-9a92-005056a23d00
Caspar,Aepli,NL-HaNA/2.01.15/165//1///,f7696666-e2d6-102c-9a92-005056a23d00
Jacob,Aepli,NL-HaNA/2.01.15/169//27///|NL-HaNA/2.01.15/168//3///|NL-HaNA/2.01.15/165//1///,f7696c10-e2d6-102c-9a92-005056a23d00
Andries,Aker,NL-HaNA/2.01.15/165//1///,f769a0c2-e2d6-102c-9a92-005056a23d00
Caspar,Albert,NL-HaNA/2.01.15/165//1///,f769f608-e2d6-102c-9a92-005056a23d00
Fridrich,Albrecht,NL-HaNA/2.01.15/165//1///,f76a4bf8-e2d6-102c-9a92-005056a23d00
Peter,Aleg,NL-HaNA/2.01.15/169//196///|NL-HaNA/2.01.15/165//1///,f76a9748-e2d6-102c-9a92-005056a23d00
J.J.,Alig,NL-HaNA/2.01.15/165//1///,f76ac61e-e2d6-102c-9a92-005056a23d00
Johannes,Als,NL-HaNA/2.01.15/169//83///|NL-HaNA/2.01.15/165//1///,f76b6f7e-e2d6-102c-9a92-005056a23d00
Johan,Altenberger,NL-HaNA/2.01.15/169//129///|NL-HaNA/2.01.15/165//1///,f76b929c-e2d6-102c-9a92-005056a23d00
Christ,Amhoff,NL-HaNA/2.01.15/165//1///,f76c5844-e2d6-102c-9a92-005056a23d00
Herman,Amman,NL-HaNA/2.01.15/165//1///,f76c632a-e2d6-102c-9a92-005056a23d00
Berckhard,Ammersdorff,NL-HaNA/2.01.15/165//1///,f76c687a-e2d6-102c-9a92-005056a23d00
Ulrich,Amstucs,NL-HaNA/2.01.15/169//63///|NL-HaNA/2.01.15/168//3///|NL-HaNA/2.01.15/165//1///,f76c89d6-e2d6-102c-9a92-005056a23d00
Ferdinant,Anbestet,NL-HaNA/2.01.15/165//1///,f76c8f12-e2d6-102c-9a92-005056a23d00
Coenraad,Andreggy,NL-HaNA/2.01.15/165//1///,f76cf86c-e2d6-102c-9a92-005056a23d00
Jacob,Angst,NL-HaNA/2.01.15/165//1///,f76d4376-e2d6-102c-9a92-005056a23d00
Martin,Anozi,NL-HaNA/2.01.15/165//1///,f76d7512-e2d6-102c-9a92-005056a23d00
Ulrich,Arbens,NL-HaNA/2.01.15/165//1///,f76e2232-e2d6-102c-9a92-005056a23d00
Johannes,Arnold,NL-HaNA/2.01.15/169//196///|NL-HaNA/2.01.15/165//1///,f76f2a06-e2d6-102c-9a92-005056a23d00
Pierre,Arnoud,NL-HaNA/2.01.15/165//1///,f76f3ff0-e2d6-102c-9a92-005056a23d00
Johannes,Asbacher,NL-HaNA/2.01.15/165//1///,f76fc204-e2d6-102c-9a92-005056a23d00
Fredrich,Asper,NL-HaNA/2.01.15/165//1///,f76fe770-e2d6-102c-9a92-005056a23d00
Georg Daniel,Augstb(o)urger,NL-HaNA/2.01.15/169//1///|NL-HaNA/2.01.15/168//2///|NL-HaNA/2.01.15/165//1///,f7705606-e2d6-102c-9a92-005056a23d00
Hendrik,Bach,NL-HaNA/2.01.15/169//221///|NL-HaNA/2.01.15/165//4///,f770ff0c-e2d6-102c-9a92-005056a23d00
Caspar,Bachosen,NL-HaNA/2.01.15/169// 199///|NL-HaNA/2.01.15/169//63///|NL-HaNA/2.01.15/165// 5///|NL-HaNA/2.01.15/165//3///,f7711f32-e2d6-102c-9a92-005056a23d00
Jacob,Bahler,NL-HaNA/2.01.15/165//3///,f771957a-e2d6-102c-9a92-005056a23d00
Ulrich,Bahr,NL-HaNA/2.01.15/168//30///|NL-HaNA/2.01.15/165//3///,f7719a98-e2d6-102c-9a92-005056a23d00
Etienne,Baraud,NL-HaNA/2.01.15/165//3///,f772c634-e2d6-102c-9a92-005056a23d00
Francois,Barbeij,NL-HaNA/2.01.15/169//221///|NL-HaNA/2.01.15/165//3///,f772d0fc-e2d6-102c-9a92-005056a23d00
Francois,Barby,NL-HaNA/2.01.15/169//221///|NL-HaNA/2.01.15/165//3///,f772e2ea-e2d6-102c-9a92-005056a23d00
Henry,Barel,NL-HaNA/2.01.15/165//4///,f772f406-e2d6-102c-9a92-005056a23d00
Henrich,Barry,NL-HaNA/2.01.15/165//5///,f773656c-e2d6-102c-9a92-005056a23d00
Johan,Bartack,NL-HaNA/2.01.15/165//4///,f773750c-e2d6-102c-9a92-005056a23d00
Adam,Bau,NL-HaNA/2.01.15/169//198///|NL-HaNA/2.01.15/165//5///,f774120a-e2d6-102c-9a92-005056a23d00
