Hans Leendert,Arrets,NL-HaNA/2.01.15/196//180///,df9fca72-2bdb-102d-89b4-005056a23d00
Willem,Brugma,NL-HaNA/2.01.15/196//169///,e089ed96-2bdb-102d-89b4-005056a23d00
Philippus Jacobus,Coenen,NL-HaNA/2.01.15/187//41///|NL-HaNA/2.01.15/196//171///,e0be8a56-2bdb-102d-89b4-005056a23d00
Pieter Bernhard,Colzhausen,NL-HaNA/2.01.15/196//175///|NL-HaNA/2.01.15/293//7///|NL-HaNA/2.01.15/328//174///,e0c1aa74-2bdb-102d-89b4-005056a23d00
P(i)eter Bernhard,Cotzhausen,NL-HaNA/2.01.15/196//175///|NL-HaNA/2.01.15/293//7///|NL-HaNA/2.01.15/328//17///,e0c6da62-2bdb-102d-89b4-005056a23d00
Hendrik Reinier,Driessen,NL-HaNA/2.01.15/196//165 ///,e1778362-2bdb-102d-89b4-005056a23d00
Reinier Hendrik,Driessen,NL-HaNA/2.01.15/196//168///|NL-HaNA/2.01.15/217//31///,e177aa36-2bdb-102d-89b4-005056a23d00
Jacob Willem,Eck,NL-HaNA/2.01.15/196//69///|NL-HaNA/2.01.15/217//21///|NL-HaNA/2.01.15/217//33///,e18241ee-2bdb-102d-89b4-005056a23d00
Johannes Christiaan,Elten,NL-HaNA/2.01.15/196//177 ///,e18bdc68-2bdb-102d-89b4-005056a23d00
Antonie,Friederich,NL-HaNA/2.01.15/196//178///,e1b879ee-2bdb-102d-89b4-005056a23d00
Jan Peter Lodewijk,Geselschap,NL-HaNA/2.01.15/196//164///,e1dc8974-2bdb-102d-89b4-005056a23d00
Antonie Johan Pieter Storm,Grave,NL-HaNA/2.01.15/196//6///|NL-HaNA/2.01.15/215//3///,e20188f0-2bdb-102d-89b4-005056a23d00
Johannes,Halderen,NL-HaNA/2.01.15/196//107///,e23059be-2bdb-102d-89b4-005056a23d00
Johannes Wijnandus,Janssen,NL-HaNA/2.01.15/196//168///|NL-HaNA/2.01.15/217//31///,e2c71174-2bdb-102d-89b4-005056a23d00
Arnold Hendrik,Jodekinge van,NL-HaNA/2.01.15/196//169///,e2cb1986-2bdb-102d-89b4-005056a23d00
Adriaan,Loon,NL-HaNA/2.01.15/196//164///|NL-HaNA/2.01.15/217//10///|NL-HaNA/2.01.15/217//28///|NL-HaNA/2.01.15/328//40///,e3ce4772-2bdb-102d-89b4-005056a23d00
Gerhardus,Menningh,NL-HaNA/2.01.15/196//169///,e3efbd1c-2bdb-102d-89b4-005056a23d00
Willem Adolph,Monhemius,NL-HaNA/2.01.15/196//165///|NL-HaNA/2.01.15/196//168///|NL-HaNA/2.01.15/217//30///,e4d80a86-2bdb-102d-89b4-005056a23d00
Hendrik Willem,Nagler,NL-HaNA/2.01.15/187//41///|NL-HaNA/2.01.15/196//170///|NL-HaNA/2.01.15/327//159///,e4fc2c9a-2bdb-102d-89b4-005056a23d00
Johan Hendrik,Reitz,NL-HaNA/2.01.15/196//182///|NL-HaNA/2.01.15/328//125///,e5af01e4-2bdb-102d-89b4-005056a23d00
Fr(i)edrik,Schelt,NL-HaNA/2.01.15/196//172///|NL-HaNA/2.01.15/294//56///,e5f621d2-2bdb-102d-89b4-005056a23d00
Simon,Seevink,NL-HaNA/2.01.15/196//168///,e6597188-2bdb-102d-89b4-005056a23d00
Pieter,Skene,NL-HaNA/2.01.15/196//167///|NL-HaNA/2.01.15/217//29///,e6719da8-2bdb-102d-89b4-005056a23d00
Hermanus,Stangenberg,NL-HaNA/2.01.15/196//179///|NL-HaNA/2.01.15/313//43///,e696da96-2bdb-102d-89b4-005056a23d00
Johannis Ferdinandus Adolph,Steevens,NL-HaNA/2.01.15/187//25///|NL-HaNA/2.01.15/196//165///|NL-HaNA/2.01.15/217//30///,e6a140c6-2bdb-102d-89b4-005056a23d00
Hendrik Arnold,Veeren,NL-HaNA/2.01.15/196//173///,e6f0810e-2bdb-102d-89b4-005056a23d00
Theodorus Johan Robo,Veeren,NL-HaNA/2.01.15/196//166///|NL-HaNA/2.01.15/217//32///,e6f08fc8-2bdb-102d-89b4-005056a23d00
Stephanus,Vertholen,NL-HaNA/2.01.15/187//25///|NL-HaNA/2.01.15/196//165///,e6fced68-2bdb-102d-89b4-005056a23d00
Jan Fredrik Willem,Voltelen,NL-HaNA/2.01.15/196//167///,e708eca8-2bdb-102d-89b4-005056a23d00
Pierre Constantijn Joseph,Welde,NL-HaNA/2.01.15/196//164///|NL-HaNA/2.01.15/196//167///,e7de43a8-2bdb-102d-89b4-005056a23d00
Johannis Poulus,Wielen,NL-HaNA/2.01.15/196//176///,e7ebb7ea-2bdb-102d-89b4-005056a23d00
Jan Pieter,Wijnbergen,NL-HaNA/2.01.15/196//164///|NL-HaNA/2.01.15/196//167///|NL-HaNA/2.01.15/330//49///,e80155fa-2bdb-102d-89b4-005056a23d00
Siemon,Zeevink,NL-HaNA/2.01.15/196//174///|NL-HaNA/2.01.15/217//24///|NL-HaNA/2.01.15/328//41///,e80db8fe-2bdb-102d-89b4-005056a23d00
